Serving HTTP on 0.0.0.0 port 59610 (http://0.0.0.0:59610/) ...
172.17.0.1 - - [09/Aug/2025 08:45:22] "GET / HTTP/1.1" 200 -
172.17.0.1 - - [09/Aug/2025 08:45:25] "GET / HTTP/1.1" 200 -
172.17.0.1 - - [09/Aug/2025 08:45:25] "GET /script.js HTTP/1.1" 200 -
172.17.0.1 - - [09/Aug/2025 08:45:25] "GET /style.css HTTP/1.1" 200 -
172.17.0.1 - - [09/Aug/2025 08:45:46] "GET / HTTP/1.1" 304 -
172.17.0.1 - - [09/Aug/2025 08:45:46] code 404, message File not found
172.17.0.1 - - [09/Aug/2025 08:45:46] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 -
172.17.0.1 - - [09/Aug/2025 08:45:46] "GET /style.css HTTP/1.1" 200 -
172.17.0.1 - - [09/Aug/2025 08:45:46] "GET /script.js HTTP/1.1" 200 -
127.0.0.1 - - [09/Aug/2025 08:48:07] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [09/Aug/2025 08:48:07] "GET /style.css HTTP/1.1" 200 -
127.0.0.1 - - [09/Aug/2025 08:48:07] "GET /script.js HTTP/1.1" 200 -
172.17.0.1 - - [09/Aug/2025 08:48:18] "GET / HTTP/1.1" 200 -
172.17.0.1 - - [09/Aug/2025 08:48:22] "GET / HTTP/1.1" 200 -
172.17.0.1 - - [09/Aug/2025 08:48:26] "GET / HTTP/1.1" 200 -
172.17.0.1 - - [09/Aug/2025 08:48:26] "GET /script.js HTTP/1.1" 200 -
172.17.0.1 - - [09/Aug/2025 08:48:26] "GET /style.css HTTP/1.1" 200 -
172.17.0.1 - - [09/Aug/2025 08:48:34] "GET / HTTP/1.1" 304 -
172.17.0.1 - - [09/Aug/2025 08:48:34] "GET /script.js HTTP/1.1" 304 -
172.17.0.1 - - [09/Aug/2025 08:48:35] "GET /style.css HTTP/1.1" 304 -
172.17.0.1 - - [09/Aug/2025 08:49:05] "GET / HTTP/1.1" 304 -
172.17.0.1 - - [09/Aug/2025 08:49:20] "GET / HTTP/1.1" 304 -
172.17.0.1 - - [09/Aug/2025 08:49:58] "GET / HTTP/1.1" 304 -
127.0.0.1 - - [09/Aug/2025 08:51:50] "GET / HTTP/1.1" 304 -
127.0.0.1 - - [09/Aug/2025 08:51:50] "GET /script.js HTTP/1.1" 200 -
127.0.0.1 - - [09/Aug/2025 08:51:50] "GET /style.css HTTP/1.1" 304 -
172.17.0.1 - - [09/Aug/2025 08:52:47] "GET / HTTP/1.1" 304 -
172.17.0.1 - - [09/Aug/2025 08:53:05] "GET / HTTP/1.1" 304 -
172.17.0.1 - - [09/Aug/2025 08:53:05] "GET /script.js HTTP/1.1" 200 -
172.17.0.1 - - [09/Aug/2025 08:53:05] "GET /style.css HTTP/1.1" 304 -
172.17.0.1 - - [09/Aug/2025 08:53:30] code 404, message File not found
172.17.0.1 - - [09/Aug/2025 08:53:30] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 -
172.17.0.1 - - [09/Aug/2025 08:53:53] "GET / HTTP/1.1" 200 -
172.17.0.1 - - [09/Aug/2025 08:53:54] "GET /style.css HTTP/1.1" 200 -
172.17.0.1 - - [09/Aug/2025 08:53:54] "GET /script.js HTTP/1.1" 200 -
172.17.0.1 - - [09/Aug/2025 08:53:54] code 404, message File not found
172.17.0.1 - - [09/Aug/2025 08:53:54] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 -
172.17.0.1 - - [09/Aug/2025 08:53:54] code 404, message File not found
172.17.0.1 - - [09/Aug/2025 08:53:54] "GET /favicon.ico HTTP/1.1" 404 -
172.17.0.1 - - [09/Aug/2025 08:54:39] "GET / HTTP/1.1" 304 -
127.0.0.1 - - [09/Aug/2025 08:56:20] "GET / HTTP/1.1" 304 -
127.0.0.1 - - [09/Aug/2025 08:56:20] "GET /script.js HTTP/1.1" 200 -
127.0.0.1 - - [09/Aug/2025 08:56:20] "GET /style.css HTTP/1.1" 304 -
172.17.0.1 - - [09/Aug/2025 08:56:36] "GET / HTTP/1.1" 304 -
172.17.0.1 - - [09/Aug/2025 08:56:43] "GET / HTTP/1.1" 304 -
172.17.0.1 - - [09/Aug/2025 08:56:43] "GET /script.js HTTP/1.1" 200 -
172.17.0.1 - - [09/Aug/2025 08:56:43] "GET /style.css HTTP/1.1" 304 -
172.17.0.1 - - [09/Aug/2025 08:56:43] code 404, message File not found
172.17.0.1 - - [09/Aug/2025 08:56:43] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 -
172.17.0.1 - - [09/Aug/2025 08:56:45] "GET / HTTP/1.1" 304 -
172.17.0.1 - - [09/Aug/2025 08:56:45] code 404, message File not found
172.17.0.1 - - [09/Aug/2025 08:56:45] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 -
172.17.0.1 - - [09/Aug/2025 08:57:52] "GET / HTTP/1.1" 304 -
172.17.0.1 - - [09/Aug/2025 08:57:52] code 404, message File not found
172.17.0.1 - - [09/Aug/2025 08:57:52] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 -
172.17.0.1 - - [09/Aug/2025 08:57:52] "GET /style.css HTTP/1.1" 304 -
172.17.0.1 - - [09/Aug/2025 08:57:52] "GET /script.js HTTP/1.1" 304 -
127.0.0.1 - - [09/Aug/2025 09:00:11] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [09/Aug/2025 09:00:11] "GET /script.js HTTP/1.1" 200 -
127.0.0.1 - - [09/Aug/2025 09:00:11] "GET /style.css HTTP/1.1" 304 -
172.17.0.1 - - [09/Aug/2025 09:00:45] "GET / HTTP/1.1" 200 -
172.17.0.1 - - [09/Aug/2025 09:00:58] "GET / HTTP/1.1" 200 -
172.17.0.1 - - [09/Aug/2025 09:01:10] "GET / HTTP/1.1" 200 -
172.17.0.1 - - [09/Aug/2025 09:01:10] code 404, message File not found
172.17.0.1 - - [09/Aug/2025 09:01:10] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 -
172.17.0.1 - - [09/Aug/2025 09:01:10] "GET /style.css HTTP/1.1" 304 -
172.17.0.1 - - [09/Aug/2025 09:01:10] "GET /script.js HTTP/1.1" 200 -
172.17.0.1 - - [09/Aug/2025 09:01:36] "GET / HTTP/1.1" 304 -
172.17.0.1 - - [09/Aug/2025 09:01:52] "GET / HTTP/1.1" 304 -
172.17.0.1 - - [09/Aug/2025 09:12:41] "GET / HTTP/1.1" 304 -
